Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Wilmer Flores","SFG","3B",9,,,,0,,0,0,,0,,,,,,,,0,0,0.07981532197590775,"Wilmer Flores",5827,527038
"Cavan Biggio","KCR","3B",10,,,,0,,0,0,,0,,,,,,,,0,0,0.07254610213322865,"Cavan Biggio",19252,624415
"Chris Taylor","LAA","3B",5,,,,0,,0,0,,0,,,,,,,,0,0,0.05729376311407264,"Chris Taylor",13757,621035
"Coby Mayo","BAL","3B",19,,,,0,,0,-2,,-2,,,,,,,,0,0,0.045160654304472525,"Coby Mayo",28312,691723
"Sal Frelick","MIL","3B",1,,,,0,,0,0,,0,,,,,,,,0,0,0.033626135613824,"Sal Frelick",29622,686217
"Christian Koss","SFG","3B",70,,,,0,,0,0,,-1,,,,,,,,0,0,0.026064490879742885,"Christian Koss",27653,683766
"Nick Yorke","PIT","3B",3,,,,0,,0,0,,0,,,,,,,,0,0,0.01942555515088141,"Nick Yorke",27504,694377
"Eric Wagaman","MIA","3B",5,,,,0,,0,0,,0,,,,,,,,0,0,0.01747786852431374,"Eric Wagaman",23395,676572
"Jonathan Ornelas","ATL","3B",7,,,,0,,0,0,,0,,,,,,,,0,0,0.0164376942383841,"Jonathan Ornelas",24597,680716
"Jack Winkler","MIA","3B",4.1,,,,0,,0,0,,0,,,,,,,,0,0,0.00963741585671864,"Jack Winkler",29830,676466
"Isaac Collins","MIL","3B",1.1,,,,0,,0,0,,0,,,,,,,,0,0,0.009204065168591074,"Isaac Collins",25477,686555
"Donovan Solano","SEA","3B",4,,,,0,,0,0,,0,,,,,,,,,,0.006858708,"Donovan Solano",8623,456781
"Jorge Mateo","BAL","3B",2,,,,0,,0,0,,0,,,,,,,,0,0,0.0044426263489097655,"Jorge Mateo",17273,622761
"Tyler Freeman","COL","3B",2,,,,0,,0,0,,0,,,,,,,,0,0,0.004372269440508644,"Tyler Freeman",22532,671289
"J.C. Escarra","NYY","3B",2,,,,0,,0,0,,0,,,,,,,,,,0.003429354,"J.C. Escarra",20084,641555
"David Hamilton","BOS","3B",1.1,,,,0,,0,0,,0,,,,,,,,,,0.0022862354549188614,"David Hamilton",27531,666152
"Matt Vierling","DET","3B",3,,,,0,,0,0,,0,,,,,,,,0,0,0.0018687295569711228,"Matt Vierling",21558,663837
"Carlos Santana","CLE","3B",1,,,,0,,0,0,,0,,,,,,,,,,0.001714677,"Carlos Santana",2396,467793
"Weston Wilson","PHI","3B",1,,,,0,,0,0,,0,,,,,,,,,,0.001714677,"Weston Wilson",19358,642215
"Carlos Cortes","ATH","3B",1,,,,0,,0,0,,0,,,,,,,,,,0.001714677,"Carlos Cortes",21842,666126
"Taylor Walls","TBR","3B",1,,,,0,,0,0,,0,,,,,,,,,,0.001714677,"Taylor Walls",22458,670764
"Davis Schneider","TOR","3B",1,,,,0,,0,0,,0,,,,,,,,,,0.001714677,"Davis Schneider",23565,676914
"Trey Lipscomb","WSN","3B",9,,,,0,,0,0,,0,,,,,,,,0,0,-0.004376677423431079,"Trey Lipscomb",31567,702358
"Tyler Tolbert","KCR","3B",10,,,,0,,0,0,,0,,,,,,,,0,0,-0.03088011757242013,"Tyler Tolbert",25779,686475
"Gavin Lux","CIN","3B",32,,,,0,,0,0,,0,,,,,,,,0,0,-0.14778619237688662,"Gavin Lux",19955,666158
"Brett Wisely","SFG","3B",21,,,,0,,0,1,,1,,,,,,,,0,0,-0.15475533201742037,"Brett Wisely",27735,689172
"Christian Encarnacion-Strand","CIN","3B",66,,,,0,,0,-1,,-1,,,,,,,,0,-1,-0.15494959509826953,"Christian Encarnacion-Strand",30011,687952
"Cam Devanney","PIT","3B",94,,,,0,,0,0,,0,,,,,,,,-1,0,-0.16640067956435392,"Cam Devanney",25688,687478
"Logan Davidson","ATH","3B",20,,,,0,,0,0,,0,,,,,,,,0,0,-0.23917731771733858,"Logan Davidson",25844,669722
"Casey Schmitt","SFG","3B",201.1,,,,0,,0,-1,,-3,,,,,,,,-1,-1,-0.24492810899280837,"Casey Schmitt",27577,669477
"Gabriel Arias","CLE","3B",37,,,,0,,0,-1,,-1,,,,,,,,0,0,-0.2514219693711711,"Gabriel Arias",22563,672356
"Ezequiel Duran","TEX","3B",74,,,,0,,0,-2,,-2,,,,,,,,-1,0,-0.26978055658242905,"Ezequiel Duran",23733,677649
"Abraham Toro","BOS","3B",102,,,,0,,0,2,,2,,,,,,,,-1,-1,-0.3156498311643844,"Abraham Toro",19844,647351
"J.D. Davis","LAA","3B",8,,,,0,,0,-1,,-1,,,,,,,,0,0,-0.3300250382498379,"J.D. Davis",16219,605204
"Cody Freeman","TEX","3B",36,,,,0,,0,0,,0,,,,,,,,-1,0,-0.35323597124636213,"Cody Freeman",25629,683227
"Ryan Fitzgerald","MIN","3B",31,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.35635310870125775,"Ryan Fitzgerald",24622,680837
"Jorbit Vivas","NYY","3B",76,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.3614166104473007,"Jorbit Vivas",23917,678391
"Anthony Seigler","MIL","3B",129.1,,,,0,,0,1,,1,,,,,,,,-1,0,-0.39152662369191227,"Anthony Seigler",23802,678011
"José Fermín","STL","3B",21,,,,0,,0,0,,0,,,,,,,,-1,0,-0.43049198345614414,"Jose Fermin",21746,665877
"Sergio Alcántara","SFG","3B",6,,,,0,,0,0,,0,,,,,,,,-1,0,-0.4527725562490128,"Sergio Alcantara",16417,642727
"Tyler Wade","SDP","3B",9.1,,,,0,,0,0,,0,,,,,,,,-1,0,-0.4698378270249356,"Tyler Wade",15730,642180
"Oswaldo Cabrera","NYY","3B",266,,,,0,,0,-1,,-1,,,,,,,,-1,0,-0.49801025293724477,"Oswaldo Cabrera",21707,665828
"Darell Hernaiz","ATH","3B",141.2,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.5361327128389943,"Darell Hernaiz",26224,687231
"José Barrero","STL","3B",2,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.5744134500417459,"Jose Barrero",23378,676480
"Oliver Dunn","MIL","3B",91.2,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.6041592514546538,"Oliver Dunn",26295,686554
"David Villar","SFG","3B",1,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.6832559864830097,"David Villar",24782,681584
"Jeremiah Jackson","BAL","3B",84,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.6847615279418577,"Jeremiah Jackson",22239,669236
"Romy Gonzalez","BOS","3B",12,,,,0,,0,-1,,-1,,,,,,,,-1,-1,-0.6872043511472078,"Romy Gonzalez",21562,663853
"Paul DeJong","WSN","3B",265,,,,1,,0,-1,,-1,,,,,,,,-2,-1,-0.7332220300557919,"Paul DeJong",18015,657557
"Buddy Kennedy","- - -","3B",57.1,,,,0,,0,-2,,-2,,,,,,,,-1,-1,-0.7414332850541101,"Buddy Kennedy",22505,671083
"Josh Smith","TEX","3B",246.1,,,,0,,0,-2,,-2,,,,,,,,-2,-1,-0.7600546366496703,"Josh Smith",26396,669701
