Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Nico Hoerner","CHC","2B",1326,,,,1,,2,14,,17,,,,,,,,14,12,12.400985715827238,"Nico Hoerner",21479,663538
"Andrés Giménez","TOR","2B",719.2,,,,0,,-2,11,,9,,,,,,,,10,7,8.313594458269993,"Andres Gimenez",19950,665926
"Xavier Edwards","MIA","2B",814.1,,,,0,,1,11,,12,,,,,,,,9,7,7.816930554274725,"Xavier Edwards",22266,669364
"Jazz Chisholm Jr.","NYY","2B",851,,,,-3,,-2,7,,2,,,,,,,,8,5,6.999139833052628,"Jazz Chisholm Jr.",20454,665862
"Bryson Stott","PHI","2B",1093,,,,-6,,0,6,,0,,,,,,,,6,1,6.593710814212251,"Bryson Stott",26294,681082
"Marcus Semien","TEX","2B",1108.1,,,,0,,1,4,,5,,,,,,,,7,6,6.406004363190298,"Marcus Semien",12533,543760
"Matt McLain","CIN","2B",1172.2,,,,1,,-1,-6,,-6,,,,,,,,6,5,6.271303274205593,"Matt McLain",29695,680574
"Mauricio Dubón","HOU","2B",318,,,,1,,1,3,,5,,,,,,,,8,7,6.175886901590925,"Mauricio Dubon",16530,643289
"Miguel Rojas","LAD","2B",453.1,,,,1,,0,4,,5,,,,,,,,6,5,5.359205547792546,"Miguel Rojas",7802,500743
"Otto Lopez","MIA","2B",265.1,,,,0,,0,6,,6,,,,,,,,6,4,4.660018461705634,"Otto Lopez",19608,672640
"Daniel Schneemann","CLE","2B",514.2,,,,1,,0,2,,3,,,,,,,,5,5,4.655528736045169,"Daniel Schneemann",25180,682177
"Ernie Clement","TOR","2B",423.1,,,,2,,0,8,,10,,,,,,,,5,4,4.536043493007116,"Ernie Clement",20352,676391
"Tommy Edman","LAD","2B",525.1,,,,-1,,1,-1,,-1,,,,,,,,5,3,4.3882320265153,"Tommy Edman",19470,669242
"Max Schuemann","ATH","2B",202,,,,0,,0,2,,2,,,,,,,,5,4,4.024459900334605,"Max Schuemann",24488,680474
"Luis Rengifo","LAA","2B",585.1,,,,2,,0,3,,5,,,,,,,,4,5,3.8764191492795828,"Luis Rengifo",19858,650859
"Jeff McNeil","NYM","2B",575.2,,,,-1,,-1,4,,2,,,,,,,,4,2,3.837229016694727,"Jeff McNeil",15362,643446
"Hyeseong Kim","LAD","2B",278,,,,1,,1,7,,9,,,,,,,,4,3,3.3895486976329727,"Hyeseong Kim",35322,808975
"Edmundo Sosa","PHI","2B",232.1,,,,1,,0,3,,4,,,,,,,,4,3,3.109449364189037,"Edmundo Sosa",17022,624641
"Nick Gonzales","PIT","2B",730.2,,,,-2,,-1,-8,,-11,,,,,,,,3,0,3.0781029622554597,"Nick Gonzales",27490,693304
"Ramón Urías","- - -","2B",185,,,,0,,0,7,,7,,,,,,,,4,3,2.9923023675054274,"Ramon Urias",18795,602104
"Adam Frazier","- - -","2B",601,,,,0,,-1,2,,1,,,,,,,,3,1,2.844716131097691,"Adam Frazier",15223,624428
"Orlando Arcia","COL","2B",115.2,,,,0,,0,0,,0,,,,,,,,3,2,2.605540781900322,"Orlando Arcia",13185,606115
"Brendan Donovan","STL","2B",809,,,,-1,,1,-2,,-2,,,,,,,,2,1,2.57007634085569,"Brendan Donovan",24679,680977
"Tim Anderson","LAA","2B",125,,,,1,,0,0,,1,,,,,,,,3,3,2.4010601629783297,"Tim Anderson",15172,641313
"Kyren Paris","LAA","2B",154,,,,1,,0,1,,2,,,,,,,,2,3,2.38056191298218,"Kyren Paris",26420,677347
"José Fermín","STL","2B",97,,,,0,,0,2,,2,,,,,,,,3,2,2.2799271449439575,"Jose Fermin",21746,665877
