Position	Name	Range/Blocking	Error/Framing	Arm	Turn DP	Games	W	L	Runs scored	Runs allowed	winpct	run score/G	run conc/G	win/162 delta	run/162 delta
SS	RNG40xERR60xARM75xTDP50	40	60	75	50	100000	49548	50452	435037	440020	49.55%	4.35	4.40	-0.97	-9.8
SS	RNG40xERR60xARM65xTDP50	40	60	65	50	100000	49414	50586	433776	439331	49.41%	4.34	4.39	-1.19	-8.6
SS	RNG50xERR60xARM65xTDP50	50	60	65	50	100000	49049	50951	433556	442684	49.05%	4.34	4.43	-1.78	-14.1
SS	RNG50xERR60xARM70xTDP50	50	60	70	50	100000	49028	50972	433772	443379	49.03%	4.34	4.43	-1.81	-15.2
SS	RNG50xERR60xARM40xTDP50	50	60	40	50	100000	49531	50469	435008	438664	49.53%	4.35	4.39	-1.00	-7.6
SS	RNG55xERR60xARM65xTDP50	55	60	65	50	100000	49499	50501	433035	438234	49.50%	4.33	4.38	-1.05	-6.9
SS	RNG55xERR60xARM70xTDP50	55	60	70	50	100000	50248	49752	435287	433298	50.25%	4.35	4.33	0.16	1.1
SS	RNG65xERR60xARM40xTDP50	65	60	40	50	100000	49812	50188	433931	436798	49.81%	4.34	4.37	-0.54	-4.5
SS	RNG65xERR60xARM60xTDP50	65	60	60	50	100000	52189	47811	434658	413851	52.19%	4.35	4.14	3.31	32.6
SS	RNG70xERR60xARM45xTDP50	70	60	45	50	100000	51836	48164	432171	414229	51.84%	4.32	4.14	2.74	32.0
SS	RNG65xERR60xARM45xTDP50	65	60	45	50	100000	50250	49750	434565	431161	50.25%	4.35	4.31	0.17	4.6
SS	RNG65xERR60xARM50xTDP50	65	60	50	50	100000	51359	48641	434075	419987	51.36%	4.34	4.20	1.96	22.7
SS	RNG55xERR60xARM40xTDP50	55	60	40	50	100000	48969	51031	432388	441458	48.97%	4.32	4.41	-1.91	-12.1
SS	RNG55xERR60xARM45xTDP50	55	60	45	50	100000	49299	50701	433605	442501	49.30%	4.34	4.43	-1.37	-13.8
SS	RNG55xERR60xARM50xTDP50	55	60	50	50	100000	49352	50648	435746	441860	49.35%	4.36	4.42	-1.29	-12.7
SS	RNG55xERR60xARM60xTDP50	55	60	60	50	100000	49374	50626	433284	441415	49.37%	4.33	4.41	-1.25	-12.0
SS	RNG55xERR60xARM75xTDP50	55	60	75	50	100000	51137	48863	433746	422547	51.14%	4.34	4.23	1.60	18.5
SS	RNG60xERR60xARM40xTDP50	60	60	40	50	100000	48949	51051	432937	442175	48.95%	4.33	4.42	-1.94	-13.3
SS	RNG60xERR60xARM45xTDP50	60	60	45	50	100000	49079	50921	432969	440954	49.08%	4.33	4.41	-1.73	-11.3
SS	RNG70xERR60xARM60xTDP50	70	60	60	50	100000	52140	47860	434730	414048	52.14%	4.35	4.14	3.23	32.3
1B	Baseline	35	35	40	40	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
1B	RNG20xERR35xARM40xTDP40	20	35	40	40	100000	49785	50215	431980	435007	49.79%	4.32	4.35	-0.59	-1.6
1B	RNG30xERR35xARM40xTDP40	30	35	40	40	100000	49649	50351	434021	436272	49.65%	4.34	4.36	-0.81	-3.7
1B	RNG40xERR35xARM40xTDP40	40	35	40	40	100000	50370	49630	435324	433571	50.37%	4.35	4.34	0.36	0.7
1B	RNG45xERR35xARM40xTDP40	45	35	40	40	100000	50354	49646	432861	431648	50.35%	4.33	4.32	0.33	3.8
1B	RNG50xERR35xARM40xTDP40	50	35	40	40	100000	50084	49916	435040	433487	50.08%	4.35	4.33	-0.10	0.8
1B	RNG35xERR20xARM40xTDP40	35	20	40	40	100000	49809	50191	433003	435255	49.81%	4.33	4.35	-0.55	-2.0
1B	RNG35xERR30xARM40xTDP40	35	30	40	40	100000	50204	49796	434831	433581	50.20%	4.35	4.34	0.09	0.7
1B	RNG35xERR40xARM40xTDP40	35	40	40	40	100000	50104	49896	433688	433280	50.10%	4.34	4.33	-0.07	1.2
1B	RNG35xERR50xARM40xTDP40	35	50	40	40	100000	50127	49873	434898	435363	50.13%	4.35	4.35	-0.03	-2.2
1B	RNG35xERR60xARM40xTDP40	35	60	40	40	100000	49836	50164	434831	435131	49.84%	4.35	4.35	-0.50	-1.8
1B	RNG40xERR40xARM40xTDP40	40	40	40	40	100000	50112	49888	434556	433551	50.11%	4.35	4.34	-0.06	0.7
1B	RNG50xERR50xARM50xTDP50	50	50	50	50	100000	50163	49837	433538	431491	50.16%	4.34	4.31	0.03	4.1
2B	Baseline	50	55	50	55	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
2B	RNG40xERR55xARM50xTDP55	40	55	50	55	100000	49985	50015	435642	436419	49.99%	4.36	4.36	-0.26	-3.9
2B	RNG55xERR55xARM50xTDP55	55	55	50	55	100000	51016	48984	435847	426798	51.02%	4.36	4.27	1.41	11.7
2B	RNG60xERR55xARM50xTDP55	60	55	50	55	100000	50816	49184	434030	426670	50.82%	4.34	4.27	1.08	11.9
2B	RNG65xERR55xARM50xTDP55	65	55	50	55	100000	51001	48999	433625	425328	51.00%	4.34	4.25	1.38	14.0
2B	RNG70xERR55xARM50xTDP55	70	55	50	55	100000	50811	49189	433670	425315	50.81%	4.34	4.25	1.08	14.1
2B	RNG75xERR55xARM50xTDP55	75	55	50	55	100000	50715	49285	434090	425781	50.72%	4.34	4.26	0.92	13.3
2B	RNG50xERR40xARM50xTDP55	50	40	50	55	100000	49945	50055	433834	436366	49.95%	4.34	4.36	-0.33	-3.8
2B	RNG50xERR50xARM50xTDP55	50	50	50	55	100000	49931	50069	435582	435999	49.93%	4.36	4.36	-0.35	-3.2
2B	RNG50xERR60xARM50xTDP55	50	60	50	55	100000	49874	50126	434162	436235	49.87%	4.34	4.36	-0.44	-3.6
2B	RNG50xERR70xARM50xTDP55	50	70	50	55	100000	49733	50267	432856	434752	49.73%	4.33	4.35	-0.67	-1.2
2B	RNG50xERR55xARM40xTDP55	50	55	40	55	100000	49943	50057	435261	437070	49.94%	4.35	4.37	-0.33	-5.0
2B	RNG50xERR55xARM55xTDP55	50	55	55	55	100000	50094	49906	434436	433397	50.09%	4.34	4.33	-0.09	1.0
2B	RNG50xERR55xARM60xTDP55	50	55	60	55	100000	50229	49771	435142	432933	50.23%	4.35	4.33	0.13	1.7
2B	RNG50xERR55xARM65xTDP55	50	55	65	55	100000	50403	49597	434297	431053	50.40%	4.34	4.31	0.41	4.8
2B	RNG50xERR55xARM70xTDP55	50	55	70	55	100000	50691	49309	434563	428484	50.69%	4.35	4.28	0.88	8.9
2B	RNG50xERR55xARM75xTDP55	50	55	75	55	100000	50485	49515	434515	429039	50.49%	4.35	4.29	0.55	8.0
2B	RNG50xERR55xARM50xTDP55	50	55	50	55	100000	49245	50755	433124	439533	49.25%	4.33	4.40	-1.46	-9.0
2B	RNG50xERR55xARM50xTDP50	50	55	50	50	100000	49844	50156	433777	436683	49.84%	4.34	4.37	-0.49	-4.4
2B	RNG50xERR55xARM50xTDP60	50	55	50	60	100000	50025	49975	433597	433782	50.03%	4.34	4.34	-0.20	0.3
2B	RNG50xERR55xARM50xTDP70	50	55	50	70	100000	50228	49772	433789	429900	50.23%	4.34	4.30	0.13	6.6
2B	RNG50xERR55xARM50xTDP75	50	55	50	75	100000	50010	49990	432431	431584	50.01%	4.32	4.32	-0.22	3.9
2B	RNG70xERR55xARM70xTDP55	70	55	70	55	100000	50826	49174	433503	424832	50.83%	4.34	4.25	1.10	14.8
2B	RNG70xERR70xARM70xTDP70	70	70	70	70	100000	51407	48593	434590	419984	51.41%	4.35	4.20	2.04	22.7
2B	RNG70xERR55xARM70xTDP70	70	55	70	70	100000	51160	48840	432994	421375	51.16%	4.33	4.21	1.64	20.4
2B	RNG70xERR55xARM50xTDP70	70	55	50	70	100000	51245	48755	433712	422293	51.25%	4.34	4.22	1.78	19.0
2B	RNG40xERR55xARM50xTDP40	40	55	50	40	100000	49457	50543	435334	441324	49.46%	4.35	4.41	-1.12	-11.9
2B	RNG50xERR55xARM70xTDP40	50	55	70	40	100000	49974	50026	435186	433638	49.97%	4.35	4.34	-0.28	0.6
2B	RNG40xERR55xARM40xTDP55	40	55	40	55	100000	49673	50327	434120	437141	49.67%	4.34	4.37	-0.77	-5.1
2B	RNG75xERR55xARM75xTDP55	75	55	75	55	100000	51050	48950	434813	424849	51.05%	4.35	4.25	1.46	14.8
2B	RNG55xERR55xARM40xTDP55	55	55	40	55	100000	50512	49488	434251	429973	50.51%	4.34	4.30	0.59	6.5
2B	RNG55xERR55xARM70xTDP55	55	55	70	55	100000	50783	49217	433681	426694	50.78%	4.34	4.27	1.03	11.8
2B	RNG55xERR55xARM70xTDP55	55	55	70	55	100000	50823	49177	435130	426591	50.82%	4.35	4.27	1.09	12.0
2B	RNG55xERR55xARM75xTDP55	55	55	75	55	100000	51209	48791	435219	424950	51.21%	4.35	4.25	1.72	14.7
2B	RNG60xERR55xARM70xTDP55	60	55	70	55	100000	50876	49124	433793	425035	50.88%	4.34	4.25	1.18	14.5
2B	RNG60xERR55xARM75xTDP55	60	55	75	55	100000	50988	49012	434762	425178	50.99%	4.35	4.25	1.36	14.3
2B	RNG45xERR55xARM40xTDP55	45	55	40	55	100000	49795	50205	433631	435884	49.80%	4.34	4.36	-0.57	-3.1
2B	RNG45xERR55xARM70xTDP55	45	55	70	55	100000	49903	50097	434140	435346	49.90%	4.34	4.35	-0.40	-2.2
2B	RNG70xERR40xARM50xTDP55	70	40	50	55	100000	50642	49358	434136	426714	50.64%	4.34	4.27	0.80	11.8
2B	RNG70xERR70xARM50xTDP55	70	70	50	55	100000	51045	48955	433536	424393	51.05%	4.34	4.24	1.45	15.6
2B	RNG55xERR70xARM50xTDP55	55	70	50	55	100000	51115	48885	435380	425400	51.12%	4.35	4.25	1.57	13.9
2B	RNG55xERR55xARM50xTDP70	55	55	50	70	100000	51020	48980	434618	423450	51.02%	4.35	4.23	1.41	17.1
2B	RNG50xERR55xARM70xTDP70	50	55	70	70	100000	50436	49564	434527	429507	50.44%	4.35	4.30	0.47	7.3
2B	RNG50xERR55xARM40xTDP70	50	55	40	70	100000	50099	49901	433653	433793	50.10%	4.34	4.34	-0.08	0.3
2B	RNG50xERR55xARM40xTDP40	50	55	40	40	100000	49410	50590	434086	441178	49.41%	4.34	4.41	-1.19	-11.6
3B	Baseline	55	55	55	50	100000	50147	49853	434431	433995	50.15%	4.34	4.34	n/a	n/a
3B	RNG40xERR55xARM55xTDP50	40	55	55	50	100000	49841	50159	434378	437341	49.84%	4.34	4.37	-0.50	-5.4
3B	RNG50xERR55xARM55xTDP50	50	55	55	50	100000	49723	50277	434068	437661	49.72%	4.34	4.38	-0.69	-5.9
3B	RNG60xERR55xARM55xTDP50	60	55	55	50	100000	50509	49491	433168	429013	50.51%	4.33	4.29	0.59	8.1
3B	RNG70xERR55xARM55xTDP50	70	55	55	50	100000	50958	49042	434045	425640	50.96%	4.34	4.26	1.31	13.5
