position,name,rng,err,arm,tdp,delta
2B,RNG50xERR55xARM50xTDP50,50,55,50,50,-4.4
2B,RNG50xERR55xARM50xTDP60,50,55,50,60,0.3
2B,RNG50xERR55xARM50xTDP70,50,55,50,70,6.6
2B,RNG50xERR55xARM50xTDP75,50,55,50,75,3.9
2B,RNG70xERR55xARM70xTDP55,70,55,70,55,14.8
2B,RNG70xERR70xARM70xTDP70,70,70,70,70,22.7
2B,RNG70xERR55xARM70xTDP70,70,55,70,70,20.4
2B,RNG70xERR55xARM50xTDP70,70,55,50,70,19.0
2B,RNG40xERR55xARM50xTDP40,40,55,50,40,-11.9
2B,RNG50xERR55xARM70xTDP40,50,55,70,40,0.6
2B,RNG40xERR55xARM40xTDP55,40,55,40,55,-5.1
2B,RNG75xERR55xARM75xTDP55,75,55,75,55,14.8
2B,RNG55xERR55xARM40xTDP55,55,55,40,55,6.5
2B,RNG55xERR55xARM70xTDP55,55,55,70,55,11.8
2B,RNG55xERR55xARM70xTDP55,55,55,70,55,12.0
2B,RNG55xERR55xARM75xTDP55,55,55,75,55,14.7
2B,RNG60xERR55xARM70xTDP55,60,55,70,55,14.5
2B,RNG60xERR55xARM75xTDP55,60,55,75,55,14.3
2B,RNG45xERR55xARM40xTDP55,45,55,40,55,-3.1
2B,RNG45xERR55xARM70xTDP55,45,55,70,55,-2.2
2B,RNG70xERR40xARM50xTDP55,70,40,50,55,11.8
2B,RNG70xERR70xARM50xTDP55,70,70,50,55,15.6
2B,RNG55xERR70xARM50xTDP55,55,70,50,55,13.9
2B,RNG55xERR55xARM50xTDP70,55,55,50,70,17.1
2B,RNG50xERR55xARM70xTDP70,50,55,70,70,7.3
2B,RNG50xERR55xARM40xTDP70,50,55,40,70,0.3
2B,RNG50xERR55xARM40xTDP40,50,55,40,40,-11.6
3B,Baseline,55,55,55,50,0.0
3B,RNG40xERR55xARM55xTDP50,40,55,55,50,-5.4
3B,RNG50xERR55xARM55xTDP50,50,55,55,50,-5.9
3B,RNG60xERR55xARM55xTDP50,60,55,55,50,8.1
3B,RNG70xERR55xARM55xTDP50,70,55,55,50,13.5
3B,RNG75xERR55xARM55xTDP50,75,55,55,50,14.4
3B,RNG55xERR40xARM55xTDP50,55,40,55,50,-3.7
3B,RNG55xERR50xARM55xTDP50,55,50,55,50,-4.7
3B,RNG55xERR60xARM55xTDP50,55,60,55,50,-1.9
3B,RNG55xERR65xARM55xTDP50,55,65,55,50,0.6
3B,RNG55xERR70xARM55xTDP50,55,70,55,50,2.1
3B,RNG55xERR75xARM55xTDP50,55,75,55,50,3.4
3B,RNG55xERR55xARM40xTDP50,55,55,40,50,-9.9
3B,RNG55xERR55xARM50xTDP50,55,55,50,50,-5.0
3B,RNG55xERR55xARM60xTDP50,55,55,60,50,7.2
3B,RNG55xERR55xARM70xTDP50,55,55,70,50,13.3
3B,RNG55xERR55xARM75xTDP50,55,55,75,50,14.3
3B,RNG55xERR55xARM55xTDP75,55,55,55,75,0.2
3B,RNG70xERR70xARM55xTDP50,70,70,55,50,16.0
3B,RNG70xERR55xARM70xTDP50,70,55,70,50,13.1
3B,RNG55xERR70xARM70xTDP50,55,70,70,50,15.7
3B,RNG60xERR65xARM70xTDP50,60,65,70,50,16.2
3B,RNG60xERR55xARM70xTDP50,60,55,70,50,12.2
3B,RNG60xERR65xARM55xTDP50,60,65,55,50,7.5
3B,RNG55xERR65xARM70xTDP50,55,65,70,50,16.7
3B,RNG60xERR55xARM60xTDP50,60,55,60,50,13.0
CF,Baseline,60,60,55,,0.0
CF,RNG40xERR60xARM55,40,60,55,,-14.2
CF,RNG50xERR60xARM55,50,60,55,,-12.5
CF,RNG70xERR60xARM55,70,60,55,,31.6
CF,RNG75xERR60xARM55,75,60,55,,31.5
CF,RNG60xERR40xARM55,60,40,55,,-3.8
CF,RNG60xERR50xARM55,60,50,55,,0.3
CF,RNG60xERR70xARM55,60,70,55,,0.3
CF,RNG60xERR75xARM55,60,75,55,,-0.7
CF,RNG60xERR60xARM40,60,60,40,,-8.1
CF,RNG60xERR60xARM50,60,60,50,,-5.8
CF,RNG60xERR60xARM70,60,60,70,,5.0
CF,RNG60xERR60xARM75,60,60,75,,4.8
CF,RNG70xERR60xARM70,70,60,70,,37.5
CF,RNG40xERR60xARM40,40,60,40,,-20.0
CF,RNG40xERR60xARM70,40,60,70,,-8.3
CF,RNG50xERR60xARM70,50,60,70,,-7.5
CF,RNG40xERR40xARM40,40,40,40,,-18.6
CF,RNG60xERR40xARM40,60,40,40,,-7.0
CF,RNG80xERR40xARM40,80,40,40,,22.9
CF,RNG40xERR60xARM40,40,60,40,,-20.0
CF,RNG60xERR60xARM40,60,60,40,,-8.1
CF,RNG80xERR60xARM40,80,60,40,,25.7
CF,RNG40xERR80xARM40,40,80,40,,-18.7
CF,RNG60xERR80xARM40,60,80,40,,-7.4
CF,RNG80xERR80xARM40,80,80,40,,27.1
CF,RNG40xERR40xARM60,40,40,60,,-12.2
CF,RNG60xERR40xARM60,60,40,60,,-3.7
CF,RNG80xERR40xARM60,80,40,60,,30.0
CF,RNG40xERR60xARM60,40,60,60,,-10.3
CF,RNG60xERR60xARM60,60,60,60,,2.7
CF,RNG80xERR60xARM60,80,60,60,,32.8
CF,RNG40xERR80xARM60,40,80,60,,-10.8
CF,RNG60xERR80xARM60,60,80,60,,4.7
CF,RNG80xERR80xARM60,80,80,60,,32.5
CF,RNG40xERR40xARM80,40,40,80,,-8.2
CF,RNG60xERR40xARM80,60,40,80,,2.5
CF,RNG80xERR40xARM80,80,40,80,,38.3
CF,RNG40xERR60xARM80,40,60,80,,-3.1
CF,RNG60xERR60xARM80,60,60,80,,4.5
CF,RNG80xERR60xARM80,80,60,80,,39.5
CF,RNG40xERR80xARM80,40,80,80,,-6.1
CF,RNG60xERR80xARM80,60,80,80,,7.7
CF,RNG80xERR80xARM80,80,80,80,,39.6
CF,RNG70xERR60xARM40,70,60,40,,22.8
CF,RNG70xERR60xARM60,70,60,60,,35.8
CF,RNG70xERR60xARM80,70,60,80,,39.2
CF,RNG65xERR60xARM40,65,60,40,,23.0
CF,RNG65xERR60xARM60,65,60,60,,30.4
CF,RNG65xERR60xARM80,65,60,80,,39.5
CF,RNG45xERR60xARM60,45,60,60,,-11.3
CF,RNG50xERR60xARM60,50,60,60,,-10.6
CF,RNG55xERR60xARM60,55,60,60,,-9.9
LF,Baseline,50,45,50,,0.0
LF,RNG40xERR40xARM40,40,40,40,,-15.2
LF,RNG60xERR40xARM40,60,40,40,,14.6
LF,RNG80xERR40xARM40,80,40,40,,15.5
LF,RNG40xERR60xARM40,40,60,40,,-10.6
LF,RNG60xERR60xARM40,60,60,40,,16.0
LF,RNG80xERR60xARM40,80,60,40,,15.4
LF,RNG40xERR80xARM40,40,80,40,,-12.1
LF,RNG60xERR80xARM40,60,80,40,,16.3
LF,RNG80xERR80xARM40,80,80,40,,15.5
LF,RNG40xERR40xARM60,40,40,60,,-9.7
LF,RNG60xERR40xARM60,60,40,60,,19.8
LF,RNG80xERR40xARM60,80,40,60,,17.9
LF,RNG40xERR60xARM60,40,60,60,,-10.1
LF,RNG60xERR60xARM60,60,60,60,,19.5
LF,RNG80xERR60xARM60,80,60,60,,20.3
LF,RNG40xERR80xARM60,40,80,60,,-10.7
LF,RNG60xERR80xARM60,60,80,60,,19.4
LF,RNG80xERR80xARM60,80,80,60,,16.9
LF,RNG40xERR40xARM80,40,40,80,,-3.6
LF,RNG60xERR40xARM80,60,40,80,,20.2
LF,RNG80xERR40xARM80,80,40,80,,21.3
LF,RNG40xERR60xARM80,40,60,80,,-6.5
LF,RNG60xERR60xARM80,60,60,80,,21.0
LF,RNG80xERR60xARM80,80,60,80,,20.5
LF,RNG40xERR80xARM80,40,80,80,,-9.6
LF,RNG60xERR80xARM80,60,80,80,,22.5
LF,RNG80xERR80xARM80,80,80,80,,21.8
LF,RNG45xERR60xARM60,45,60,60,,-7.0
LF,RNG50xERR60xARM60,50,60,60,,-1.3
LF,RNG55xERR60xARM60,55,60,60,,17.4
RF,Baseline,50,55,55,,0.0
RF,RNG40xERR40xARM40,40,40,40,,-23.7
RF,RNG60xERR40xARM40,60,40,40,,25.6
RF,RNG80xERR40xARM40,80,40,40,,23.0
RF,RNG40xERR60xARM40,40,60,40,,-22.4
RF,RNG60xERR60xARM40,60,60,40,,28.9
RF,RNG80xERR60xARM40,80,60,40,,25.2
RF,RNG40xERR80xARM40,40,80,40,,-23.4
RF,RNG60xERR80xARM40,60,80,40,,28.2
RF,RNG80xERR80xARM40,80,80,40,,25.2
RF,RNG40xERR40xARM60,40,40,60,,-13.2
RF,RNG60xERR40xARM60,60,40,60,,35.2
RF,RNG80xERR40xARM60,80,40,60,,32.6
RF,RNG40xERR60xARM60,40,60,60,,-16.4
RF,RNG60xERR60xARM60,60,60,60,,36.5
RF,RNG80xERR60xARM60,80,60,60,,31.0
RF,RNG40xERR80xARM60,40,80,60,,-13.0
RF,RNG60xERR80xARM60,60,80,60,,37.9
RF,RNG80xERR80xARM60,80,80,60,,35.2
RF,RNG40xERR40xARM80,40,40,80,,-8.5
RF,RNG60xERR40xARM80,60,40,80,,42.8
RF,RNG80xERR40xARM80,80,40,80,,40.2
RF,RNG40xERR60xARM80,40,60,80,,-9.0
RF,RNG60xERR60xARM80,60,60,80,,40.8
RF,RNG80xERR60xARM80,80,60,80,,38.9
RF,RNG40xERR80xARM80,40,80,80,,-3.0
RF,RNG60xERR80xARM80,60,80,80,,42.9
RF,RNG80xERR80xARM80,80,80,80,,40.2
RF,RNG45xERR60xARM60,45,60,60,,-12.5
RF,RNG50xERR60xARM60,50,60,60,,1.6
RF,RNG55xERR60xARM60,55,60,60,,35.5
C,Baseline,55,55,50,,0.0
C,BLK80xFRM55xARM50,80,55,50,,3.6
C,BLK55xFRM55xARM40,55,55,40,,-3.0
C,BLK55xFRM55xARM80,55,55,80,,-0.4
C,BLK40xFRM40xARM50,40,40,50,,-24.9
C,BLK40xFRM45xARM50,40,45,50,,-16.4
C,BLK40xFRM50xARM50,40,50,50,,-9.2
C,BLK40xFRM55xARM50,40,55,50,,-1.5
C,BLK40xFRM60xARM50,40,60,50,,1.6
C,BLK40xFRM65xARM50,40,65,50,,6.4
C,BLK40xFRM70xARM50,40,70,50,,5.8
C,BLK40xFRM75xARM50,40,75,50,,5.7
C,BLK40xFRM80xARM50,40,80,50,,6.1
C,BLK55xFRM40xARM50,55,40,50,,-23.3
C,BLK55xFRM45xARM50,55,45,50,,-13.9
C,BLK55xFRM50xARM50,55,50,50,,-8.2
C,BLK55xFRM60xARM50,55,60,50,,3.5
